epoch: 0/2=0.00%, steps: 92, loss: 1.438
epoch: 0/2=0.00%, steps: 93, loss: 1.536
epoch: 0/2=0.00%, steps: 94, loss: 1.447
epoch: 0/2=0.00%, steps: 95, loss: 1.074
epoch: 0/2=0.00%, steps: 96, loss: 1.272
epoch: 0/2=0.00%, steps: 97, loss: 1.547
epoch: 0/2=0.00%, steps: 98, loss: 1.437
epoch: 0/2=0.00%, steps: 99, loss: 1.283
epoch: 0/2=0.00%, steps: 100, loss: 1.159
epoch: 0/2=0.00%, steps: 101, loss: 1.242
epoch: 0/2=0.00%, steps: 102, loss: 1.154
epoch: 0/2=0.00%, steps: 103, loss: 1.61
epoch: 0/2=0.00%, steps: 104, loss: 1.309
epoch: 0/2=0.00%, steps: 105, loss: 1.328
epoch: 0/2=0.00%, steps: 106, loss: 1.543
epoch: 0/2=0.00%, steps: 107, loss: 1.146
epoch: 0/2=0.00%, steps: 108, loss: 1.639
epoch: 0/2=0.00%, steps: 109, loss: 1.254
epoch: 0/2=0.00%, steps: 110, loss: 1.329
epoch: 0/2=0.00%, steps: 111, loss: 1.562
epoch: 0/2=0.00%, steps: 112, loss: 1.334
epoch: 0/2=0.00%, steps: 113, loss: 1.217
epoch: 0/2=0.00%, steps: 114, loss: 1.223
epoch: 0/2=0.00%, steps: 115, loss: 1.68
epoch: 0/2=0.00%, steps: 116, loss: 1.596
epoch: 0/2=0.00%, steps: 117, loss: 1.377
epoch: 0/2=0.00%, steps: 118, loss: 1.31
epoch: 0/2=0.00%, steps: 119, loss: 1.636
epoch: 0/2=0.00%, steps: 120, loss: 1.441
epoch: 0/2=0.00%, steps: 121, loss: 1.43
epoch: 0/2=0.00%, steps: 122, loss: 1.385
epoch: 0/2=0.00%, steps: 123, loss: 1.893
epoch: 0/2=0.00%, steps: 124, loss: 1.374
epoch: 0/2=0.00%, steps: 125, loss: 1.145
epoch: 0/2=0.00%, steps: 126, loss: 1.035
epoch: 0/2=0.00%, steps: 127, loss: 0.9063
epoch: 0/2=0.00%, steps: 128, loss: 1.191
epoch: 0/2=0.00%, steps: 129, loss: 1.384
epoch: 0/2=0.00%, steps: 130, loss: 1.435
epoch: 0/2=0.00%, steps: 131, loss: 1.639
epoch: 0/2=0.00%, steps: 132, loss: 1.367
epoch: 0/2=0.00%, steps: 133, loss: 1.602
epoch: 0/2=0.00%, steps: 134, loss: 1.086
epoch: 0/2=0.00%, steps: 135, loss: 1.353
epoch: 0/2=0.00%, steps: 136, loss: 1.023
epoch: 0/2=0.00%, steps: 137, loss: 1.019
epoch: 0/2=0.00%, steps: 138, loss: 1.418
epoch: 0/2=0.00%, steps: 139, loss: 1.532
epoch: 0/2=0.00%, steps: 140, loss: 1.381
epoch: 0/2=0.00%, steps: 141, loss: 1.485
epoch: 0/2=0.00%, steps: 142, loss: 1.421
epoch: 0/2=0.00%, steps: 143, loss: 1.305
epoch: 0/2=0.00%, steps: 144, loss: 1.255
epoch: 0/2=0.00%, steps: 145, loss: 1.413
epoch: 0/2=0.00%, steps: 146, loss: 1.337
epoch: 0/2=0.00%, steps: 147, loss: 1.135
epoch: 0/2=0.00%, steps: 148, loss: 1.325
epoch: 0/2=0.00%, steps: 149, loss: 1.254
epoch: 0/2=0.00%, steps: 150, loss: 1.393
epoch: 0/2=0.00%, steps: 151, loss: 1.162
epoch: 0/2=0.00%, steps: 152, loss: 1.357
epoch: 0/2=0.00%, steps: 153, loss: 1.778
epoch: 0/2=0.00%, steps: 154, loss: 1.206
epoch: 0/2=0.00%, steps: 155, loss: 1.174
epoch: 0/2=0.00%, steps: 156, loss: 1.508
epoch: 0/2=0.00%, steps: 157, loss: 1.081
epoch: 0/2=0.00%, steps: 158, loss: 1.083
epoch: 0/2=0.00%, steps: 159, loss: 1.536
epoch: 0/2=0.00%, steps: 160, loss: 1.417
epoch: 0/2=0.00%, steps: 161, loss: 1.548
epoch: 0/2=0.00%, steps: 162, loss: 1.27
epoch: 0/2=0.00%, steps: 163, loss: 1.223
epoch: 0/2=0.00%, steps: 164, loss: 1.352
epoch: 0/2=0.00%, steps: 165, loss: 1.214
epoch: 0/2=0.00%, steps: 166, loss: 1.184
epoch: 0/2=0.00%, steps: 167, loss: 1.344
epoch: 0/2=0.00%, steps: 168, loss: 1.424
epoch: 0/2=0.00%, steps: 169, loss: 1.022
epoch: 0/2=0.00%, steps: 170, loss: 1.26
epoch: 0/2=0.00%, steps: 171, loss: 1.323
epoch: 0/2=0.00%, steps: 172, loss: 1.294
epoch: 0/2=0.00%, steps: 173, loss: 1.341
epoch: 0/2=0.00%, steps: 174, loss: 1.223
epoch: 0/2=0.00%, steps: 175, loss: 1.279
